ArticleId,Text,Category
1,https://berkeley.zoom.us/j/41810383029,zoomlink

2,https://berkeley.zoom.us/j/23269085011,zoomlink

3,https://berkeley.zoom.us/j/47580519432,zoomlink

4,https://berkeley.zoom.us/j/83750991624,zoomlink

5,https://berkeley.zoom.us/j/83562172419,zoomlink

6,https://berkeley.zoom.us/j/11597374826,zoomlink

7,https://berkeley.zoom.us/j/23136749058,zoomlink

8,https://berkeley.zoom.us/j/05437112866,zoomlink

9,https://berkeley.zoom.us/j/91301078356,zoomlink

10,https://berkeley.zoom.us/j/75320904571,zoomlink

11,https://berkeley.zoom.us/j/71435212960,zoomlink

12,https://berkeley.zoom.us/j/23970149102,zoomlink

13,https://berkeley.zoom.us/j/93725358081,zoomlink

14,https://berkeley.zoom.us/j/75004362123,zoomlink

15,https://berkeley.zoom.us/j/01497075886,zoomlink

16,https://berkeley.zoom.us/j/60185378249,zoomlink

17,https://berkeley.zoom.us/j/50126843537,zoomlink

18,https://berkeley.zoom.us/j/68934825254,zoomlink

19,https://berkeley.zoom.us/j/96301505717,zoomlink

20,https://berkeley.zoom.us/j/26179738532,zoomlink

21,https://berkeley.zoom.us/j/17632428897,zoomlink

22,https://berkeley.zoom.us/j/57634368041,zoomlink

23,https://berkeley.zoom.us/j/69423405019,zoomlink

24,https://berkeley.zoom.us/j/13587799600,zoomlink

25,https://berkeley.zoom.us/j/34642702950,zoomlink

26,https://berkeley.zoom.us/j/25290176807,zoomlink

27,https://berkeley.zoom.us/j/81352390047,zoomlink

28,https://berkeley.zoom.us/j/68193057212,zoomlink

29,https://berkeley.zoom.us/j/81746395650,zoomlink

30,https://berkeley.zoom.us/j/59828645374,zoomlink

31,https://berkeley.zoom.us/j/09891267527,zoomlink

32,https://berkeley.zoom.us/j/54692677508,zoomlink

33,https://berkeley.zoom.us/j/01785169702,zoomlink

34,https://berkeley.zoom.us/j/95386921027,zoomlink

35,https://berkeley.zoom.us/j/98390418265,zoomlink

36,https://berkeley.zoom.us/j/44239938521,zoomlink

37,https://berkeley.zoom.us/j/34581905476,zoomlink

38,https://berkeley.zoom.us/j/82910985763,zoomlink

39,https://berkeley.zoom.us/j/49822369831,zoomlink

40,https://berkeley.zoom.us/j/67881903245,zoomlink

41,https://berkeley.zoom.us/j/46931782950,zoomlink

42,https://berkeley.zoom.us/j/16530979152,zoomlink

43,https://berkeley.zoom.us/j/96821607945,zoomlink

44,https://berkeley.zoom.us/j/83221416645,zoomlink

45,https://berkeley.zoom.us/j/06136288577,zoomlink

46,https://berkeley.zoom.us/j/76141629952,zoomlink

47,https://berkeley.zoom.us/j/84389792601,zoomlink

48,https://berkeley.zoom.us/j/02538283411,zoomlink

49,https://berkeley.zoom.us/j/25086520318,zoomlink

50,https://berkeley.zoom.us/j/43190718842,zoomlink

51,https://berkeley.zoom.us/j/53501879621,zoomlink

52,https://berkeley.zoom.us/j/06937440823,zoomlink

53,https://berkeley.zoom.us/j/56429196478,zoomlink

54,https://berkeley.zoom.us/j/02485606975,zoomlink

55,https://berkeley.zoom.us/j/56403874923,zoomlink

56,https://berkeley.zoom.us/j/61813769500,zoomlink

57,https://berkeley.zoom.us/j/65188739956,zoomlink

58,https://berkeley.zoom.us/j/76298132319,zoomlink

59,https://berkeley.zoom.us/j/73483591627,zoomlink

60,https://berkeley.zoom.us/j/24629053791,zoomlink

61,https://berkeley.zoom.us/j/92035371986,zoomlink

62,https://berkeley.zoom.us/j/42897536086,zoomlink

63,https://berkeley.zoom.us/j/42705113839,zoomlink

64,https://berkeley.zoom.us/j/26546721359,zoomlink

65,https://berkeley.zoom.us/j/81657923289,zoomlink

66,https://berkeley.zoom.us/j/53991068765,zoomlink

67,https://berkeley.zoom.us/j/45861695780,zoomlink

68,https://berkeley.zoom.us/j/68140547159,zoomlink

69,https://berkeley.zoom.us/j/69050736398,zoomlink

70,https://berkeley.zoom.us/j/64081852306,zoomlink

71,https://berkeley.zoom.us/j/85627549381,zoomlink

72,https://berkeley.zoom.us/j/67029147820,zoomlink

73,https://berkeley.zoom.us/j/08387211906,zoomlink

74,https://berkeley.zoom.us/j/29216819304,zoomlink

75,https://berkeley.zoom.us/j/75674599100,zoomlink

76,https://berkeley.zoom.us/j/82962607158,zoomlink

77,https://berkeley.zoom.us/j/03079871439,zoomlink

78,https://berkeley.zoom.us/j/63989080637,zoomlink

79,https://berkeley.zoom.us/j/76395840091,zoomlink

80,https://berkeley.zoom.us/j/71465283364,zoomlink

81,https://berkeley.zoom.us/j/91134037682,zoomlink

82,https://berkeley.zoom.us/j/85694753810,zoomlink

83,https://berkeley.zoom.us/j/60145602591,zoomlink

84,https://berkeley.zoom.us/j/75930926164,zoomlink

85,https://berkeley.zoom.us/j/26380419317,zoomlink

86,https://berkeley.zoom.us/j/89482405051,zoomlink

87,https://berkeley.zoom.us/j/18857496301,zoomlink

88,https://berkeley.zoom.us/j/46955120341,zoomlink

89,https://berkeley.zoom.us/j/13872047929,zoomlink

90,https://berkeley.zoom.us/j/10584613420,zoomlink

91,https://berkeley.zoom.us/j/49121352867,zoomlink

92,https://berkeley.zoom.us/j/15478897601,zoomlink

93,https://berkeley.zoom.us/j/92740898711,zoomlink

94,https://berkeley.zoom.us/j/17539845760,zoomlink

95,https://berkeley.zoom.us/j/50593869681,zoomlink

96,https://berkeley.zoom.us/j/12563572044,zoomlink

97,https://berkeley.zoom.us/j/60214785214,zoomlink

98,https://berkeley.zoom.us/j/94820306577,zoomlink

99,https://berkeley.zoom.us/j/56819367409,zoomlink

100,https://berkeley.zoom.us/j/31779085619,zoomlink

101,https://berkeley.zoom.us/j/16220398770,zoomlink



102, asdasdasd, other1
103, asdasdasd, other2
104, asdasdasd, other3
105, asdasdasd, other4
106, asdasdasd, other5